ID,Name,Party,Campaign Finance Overhaul,Unemployment and Tax Benefits,Fiscal 2003 Budget Resolution,Permanent Tax Cuts,Food Stamps,Nuclear Waste,Fiscal 2003 Defense Authorization,Abortions Overseas,Defense Authorization Recommitment,Welfare Renewal,Estate Tax Repeal,Married Couples Tax Relief,Late Term Abortion Ban,Homeland Sec/Union Memb,Homeland Sec/Civil Service Emp,Homeland Sec/Whistleblower Protections,Andean Trade,Abortion Service Refusals,Medical Malpractice Awards,Military Support for UN Resolution
144,Gordon B.,D,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N
145,Goss,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
146,Graham L.,R,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N
147,Granger,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
148,Graves,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
149,Green G.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N
150,Green M.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
151,Greenwood,R,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,Y,N
152,Grucci,R,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,N
153,Gutierrez,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
154,Gutknecht,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
155,Hall R.,D,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N
156,Hall T.,D,Y,N,N,N,Y,,,,,Y,N,,Y,N,Y,Y,N,,,
157,Hansen,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,,N,Y,N
158,Harman,D,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N
159,Hart,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
